"Academic Degree ID","Academic Degree","Population","Percentage"
100,"Preescolar o Kínder",1253,0.11475514932822904
200,"Primaria",180965,16.573555944280102
300,"Secundaria",246747,22.598155491853575
400,"Preparatoria o Bachillerato General",263594,24.141076482063212
500,"Bachillerato Tecnológico o Normal Básica",16704,1.5298244328641164
600,"Estudios Técnicos o Comerciales con Primaria Terminada",9718,0.8900163935927612
700,"Estudios Técnicos o Comerciales con Secundaria Terminada",20572,1.8840725714128714
800,"Estudios Técnicos o Comerciales con Preparatoria Terminada",19841,1.8171244356116458
900,"Normal con Primaria o Secundaria Terminada",2213,0.20267609374570697
1000,"Normal de Licenciatura",10633,0.9738160437406699
1100,"Licenciatura",283902,26.000970793761276
1200,"Especialidad",9763,0.8941376878623305
1300,"Maestría",21725,1.9896692890309462
1400,"Doctorado",4260,0.3901491908525584
