"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",43176,-43176,3.125866516464446
1,"Hombre",2,"5 a 9 años",46474,-46474,3.3646359200984035
1,"Hombre",3,"10 a 14 años",48339,-48339,3.4996586422868
1,"Hombre",4,"15 a 19 años",53999,-53999,3.9094326946119056
1,"Hombre",5,"20 a 24 años",59263,-59263,4.290537042922746
1,"Hombre",6,"25 a 29 años",57292,-57292,4.147840107033562
1,"Hombre",7,"30 a 34 años",52427,-52427,3.7956226574643677
1,"Hombre",8,"35 a 39 años",47659,-47659,3.450427837413819
1,"Hombre",9,"40 a 44 años",42356,-42356,3.066499957647028
1,"Hombre",10,"45 a 49 años",41123,-41123,2.9772329246935203
1,"Hombre",11,"50 a 54 años",38139,-38139,2.7611965691920863
1,"Hombre",12,"55 a 59 años",32330,-32330,2.340635178740401
1,"Hombre",13,"60 a 64 años",30845,-30845,2.233123788686906
1,"Hombre",14,"65 a 69 años",24654,-24654,1.7849062696153988
1,"Hombre",15,"70 a 74 años",19545,-19545,1.4150236488858996
1,"Hombre",16,"75 a 79 años",13005,-13005,0.9415391431957598
1,"Hombre",17,"80 a 84 años",7957,-7957,0.5760728152563369
1,"Hombre",18,"85 años o más",6225,-6225,0.4506790593151561
2,"Mujer",1,"0 a 4 años",42197,42197,3.054988637095846
2,"Mujer",2,"5 a 9 años",45377,45377,3.285215048119492
2,"Mujer",3,"10 a 14 años",46518,46518,3.3678214427666555
2,"Mujer",4,"15 a 19 años",52178,52178,3.7775954950917607
2,"Mujer",5,"20 a 24 años",58534,58534,4.237758724169212
2,"Mujer",6,"25 a 29 años",56127,56127,4.063496154567352
2,"Mujer",7,"30 a 34 años",52446,52446,3.796998224071112
2,"Mujer",8,"35 a 39 años",48889,48889,3.539477675639946
2,"Mujer",9,"40 a 44 años",45981,45981,3.3289435865654924
2,"Mujer",10,"45 a 49 años",46098,46098,3.3374141809333437
2,"Mujer",11,"50 a 54 años",45649,45649,3.304907370068684
2,"Mujer",12,"55 a 59 años",40178,40178,2.9088165855685686
2,"Mujer",13,"60 a 64 años",39238,39238,2.8407622376559187
2,"Mujer",14,"65 a 69 años",31867,31867,2.307114792481298
2,"Mujer",15,"70 a 74 años",25564,25564,1.8507886702542407
2,"Mujer",16,"75 a 79 años",17034,17034,1.2332316620681716
2,"Mujer",17,"80 a 84 años",11780,11780,0.852851296181934
2,"Mujer",18,"85 años o más",10786,10786,0.7808874431764294
