agency_id,route_id,route_type,route_short_name,route_long_name,route_desc,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
BUS,C01,3,C01,"Troncal C01 - 39A ""Poniente""",,,4C8D2B,FFFFFF,,,
BUS,C02,3,C02,Troncal C02 - 45A,,,4C8D2B,FFFFFF,,,
BUS,C03,3,C03,"Troncal C03 - 61 ""Mercado de Abastos""",,,4C8D2B,FFFFFF,,,
BUS,C04,3,C04,Troncal C04 - 110,,,4C8D2B,FFFFFF,,,
BUS,C05,3,C05,Troncal C05 - 136,,,4C8D2B,FFFFFF,,,
BUS,C06,3,C06,Troncal C06 - 136A,,,4C8D2B,FFFFFF,,,
BUS,C07-V1,3,C07-V1,Troncal C07-V1 - 153CTM,,,4C8D2B,FFFFFF,,,
BUS,C07-V2,3,C07-V2,Troncal C07-V2 - 153A,,,4C8D2B,FFFFFF,,,
BUS,C08,3,C08,Troncal C08 - 156,,,4C8D2B,FFFFFF,,,
BUS,C09,3,C09,Troncal C09 - 175D,,,4C8D2B,FFFFFF,,,
BUS,C10,3,C10,Troncal C10 - 175E,,,4C8D2B,FFFFFF,,,
BUS,C100,3,C100,"Troncal C100 - 181 ""La Fortuna""",,,4C8D2B,FFFFFF,,,
BUS,C101,3,C101,"Troncal C101 - 186A ""San Sebastian - Calera""",,,4C8D2B,FFFFFF,,,
BUS,C102,3,C102,Troncal C102 - 187,,,4C8D2B,FFFFFF,,,
BUS,C103,3,C103,Troncal C103 - 188,,,4C8D2B,FFFFFF,,,
BUS,C104,3,C104,"Troncal C104 - 629 ""Plaza del Sol""",,,4C8D2B,FFFFFF,,,
BUS,C105,3,C105,Troncal C105 - 808,,,4C8D2B,FFFFFF,,,
BUS,C106,3,C106,Troncal C106 - 809,,,4C8D2B,FFFFFF,,,
BUS,C107,3,C107,Troncal C107 - 110A,,,4C8D2B,FFFFFF,,,
BUS,C108,3,C108,Troncal C108 - 371,,,4C8D2B,FFFFFF,,,
BUS,C109,3,C109,"Troncal C109 - 629A ""CG""",,,4C8D2B,FFFFFF,,,
BUS,C11,3,C11,Troncal C11 - 174,,,4C8D2B,FFFFFF,,,
BUS,C110-V1,3,C110-V1,"Troncal C110-V1 - 629B ""Nuevo Mexico - Chori""",,,4C8D2B,FFFFFF,,,
BUS,C110-V2,3,C110-V2,"Troncal C110-V2 - 629B ""Primavera - La Venta""",,,4C8D2B,FFFFFF,,,
BUS,C110-V3,3,C110-V3,"Troncal C110-V3 - 629B ""L3 Tren Ligero""",,,4C8D2B,FFFFFF,,,
